titulo;descripcion;comensales;tiempo_minutos;categoria;dificultad;ingredientes;pasos
Receta de Ensalada de pulpo;¿Qué tal una ensalada de pulpo? Podemos preparar tantas ensaladas diferentes como días tiene el año y, con una gran variedad de ingredientes, son ideales tanto para el verano como para el invierno, pues siempre apetecen. Esta vez compartimos contigo una receta de ensalada de pulpo: una preparación marinera acompañada también con langostinos, aguacate y otros ingredientes saludables y nutritivos. Para hacerla más fácil de preparar, te recomendamos usar pulpo ya cocido, venden las patas en paquetes y solo tendrás que cortarlas. Prepara este rico plato como entrante, picoteo, aperitivo o plato único, ¡de cualquier forma quedará genial!;2;15;;muy baja;['1 aguacate', '1 paquete de pulpo cocido', '10 langostinos cocidos', '2 cogollos de lechuga', '1 trozo de pimiento verde', '1 trozo de pimiento rojo', '1 cebolla tierna', '1 bote de aceitunas', '1 chorro de aceite de oliva', '1 limón', '1 pizca de sal', '1 cucharada postre de pimentón dulce o picante'];"['Para hacer esta enselada de pulpo fácil, comienza cortando el aguacate en rodajas y rocíalo con un poco de limón para que no se oxide. Reserva.', 'Corta el pulpo en rodajas también. Reserva.', 'Pela los langostinos y resérvalos.', 'Lava los cogollos y córtalos en rodajas o en trozos. Pela la cebolla y pícala en trozos pequeños, lava el pimiento rojo y verde, córtalo en trozos muy pequeños.', 'Monta la ensalada de pulpo. Pon en una fuente los cogollos de lechuga en un lado; en el centro pon todas las verduras picadas, la cebolla, el pimiento rojo y verde.', 'Por el otro lado pon las rodajas de aguacate, se pueden cortar en trozos pequeños. Pon alrededor los langostinos pelados o en trozos.', 'Añade las rodajas de pulpo y algunas aceitunas.', 'Prepara el aliño de la ensalada de pulpo. En un cuenco pon un buen chorro de aceite de oliva, el zumo de un limón o vinagre, un poquito de sal y la cucharadita de pimentón dulce o picante. Bate todo para que se mezcle bien.', 'Aliña la ensalada y deja un poco del aderezo aparte para que cada comensal añada en su plato si desea. El pimentón le va muy bien al pulpo, así que se puede poner el pimentón encima del mismo y hacer el aliño sin él. Introduce en la nevera hasta la hora de comer para que esté bien fresquita. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']"
Receta de Pipirrana murciana;La pipirrana murciana es una ensalada tradicional y muy conocida que, aún teniendo ingredientes muy comunes, en cada casa se prepara de forma distinta. Por ejemplo, podemos ver pipirranas con tomates, pimiento verde o con atún, entre otros ingredientes. En esta ocasión, en RecetasGratis hemos elegido preparar una pipirrana con bacalao, pues es también un ingrediente muy típico de las pipirranas murcianas.;4;15;Entrante;baja;['2 ñoras', '300 gramos de bacalao desalado sin piel ni espinas', '2 cebollas tiernas', '1 pimiento rojo', '150 gramos de aceitunas negras sin hueso', '1 cucharadita de sal', '1 cucharada sopera de aceite de oliva', '1 cucharada sopera de vinagre de vino'];['Parte las ñoras y retira las semillas.', 'Engrasa con un poco de aceite una plancha y ponla al fuego. Pon en ella las ñoras y el bacalao. Cocina unos cinco minutos o hasta que el bacalao esté hecho.', 'Deja enfriar el pescado y las ñoras y, mientras, pela las cebollas y las trocéalas. Lava el pimiento rojo, sécalo y trocea también.', 'Trocea igualmente las ñoras y el bacalao.', 'En un bol amplio, pon las cebollas, el pimiento, las ñoras y el bacalao troceado. Incorpora las aceitunas y aliña la pipirrana con la sal, el aceite y el vinagre. Remueve bien para que quede todo bien integrado.', 'Reserva en la nevera hasta el momento de servir. Para que se asienten los sabores y quede mejor, deja reposar la pipirrana murciana durante todo un día. Disfruta con tostas de pan y verás que quedará riquísima.']
Receta de Pipirrana de Jaén;La pipirrana de Jaén es un plato tradicional de esta zona que no puede faltar en verano. Una ensalada fresquita y rica que tiene algunas variantes dependiendo de las zonas de Jaén donde se prepare. En verano apetecen mucho ensaladas y tenemos la suerte de que es también la mejor temporada para los productos de la tierra como los tomates y los pimientos, los cuales no pueden faltar en esta ensalada. Lo que diferencia esta receta de pipirrana de Jaén de otras ensaladas es el majado que lleva, el cual se hace con las yemas de huevo duro, el ajo y el pimiento verde todo bien picado. A este se le va añadiendo aceite de oliva hasta que nos quede como una mayonesa un poco más ligera que le dará un toque diferente y quedará buenísima.;4;15;;baja;['4 tomates para ensalada', '1 pimiento verde', '2 huevos duros', '2 latas de atún', '1 chorro de aceite de oliva', '1 pizca de sal', '1 diente de ajo'];['Pon los huevos a cocer en un cazo con agua. Cuando empiece a hervir cocínalos por 10 minutos, sácalos y déjalos enfriar por sí solos o con agua fría. Reserva. Pela los tomates, si cuesta ponlos en agua hirviendo unos minutos y así piel se desprendrá rápido. Córtalos en trozos muy pequeños y velos poniendo en una fuente, añadiendo el jugo y las semillas. Mételos en la nevera para que estén fresquitos. Lava y corta también el pimiento verde en trozos pequeños.', 'Prepara el majado. Pela los huevos duros, separa las claras de las yemas. En un mortero ponemos los ajos, unos trozos de pimiento verde, un poco de sal y las yemas de los huevos cocidos.', 'Maja hasta conseguir una pasta, debe quedar todo bien triturado. Luego, ve añadiendo aceite de oliva poco a poco y, con el mazo del mortero, remueve hasta formar una especie de mayonesa. Es importante usar un aceite de oliva virgen de calidad, ya que esta salsa es la que da buen sabor a la ensalada.', 'Retira el bol donde tienes los tomates, añade el resto de los trozos de pimiento verde, agrega el majado y un poco más de sal. Mezcla todo bien y prueba de sal.', 'Pica las claras de huevos y añádelas a la ensalada. Abre las latas de atún, escurre bien el aceite y añádelo también. Mezcla todo. Introduce la pipirrana de Jaén a la nevera un par de horas para que a la hora de comer esté bien fresquita y todo haya cogido los sabores.']
Receta de Ensalada de alubias rojas con quinoa;En esta ocasión te traemos una ensalada fría, fresca y deliciosa que podrán disfrutar tanto veganos como vegetarianos. Se trata de esta rica receta de ensalada de alubias rojas y quinoa. La elaboramos con ingredientes muy nutritivos y sanos, perfectos para una comida balanceada, ligera y con mucha sustancia. ;4;45;Plato principal;baja;['1 bote de alubias rojas cocidas (200 g)', '1 trozo de pimiento rojo', '1 tomate para ensalada', '100 gramos de quinoa', '1 aguacate', '1 cucharadita de comino molido, sal', '1 pellizco de pimienta negra molida', '1 cucharadita de mostaza dulce (americana)', '1 trozo de pimiento verde', '1 trozo de cebolla (opcional)'];['Pon las alubias cocidas en un colador y enjuaga hasta que pierdan esa espuma que suele formarse, no las pongas bajo el chorro de agua para evitar que se deshagan o se rompan. Reserva para que se vayan escurriendo.', 'Cuece la quinoa roja o cualquier otra variedad que encuentres en el mercado. Para ello, solo tendrás que enjuagarla con agua del grifo y ponerla a cocer diez minutos con medio vaso de agua y un pellizco de sal. Tapa y cuece a fuego bajo.', 'Corta todos los vegetales en cubos de dos centímetros: el pimiento rojo y verde, el tomate sin piel ni semillas, y el medio aguacate. Si quieres, puedes reservar la media cáscara del aguacate para servir en la mesa con pedazos de verdura, por si algún comensal desea añadir más a su ensalada.', 'Por otro lado, prepara la salsa de aliño para la ensalada de alubias, esto le aportará un gran sabor y la hará deliciosa. Mezcla en un recipiente cada componente del aliño: mostaza, aceite, vinagre, sal, pimienta y comino molido (opcional). Remueve enérgicamente para que la salsa se integre.', 'Una vez que la quinoa ya esté fría y escurrida, monta los ingredientes en una fuente de servir y vierte la salsa de aliño por encima. Deja que macere un par de horas en la nevera y sirve fresquita. Esta ensalada puede conservarse en frío durante dos o tres días sin problema alguno, simplemente deberás cubrirla con papel film. ']
Receta de Tabulé;El tabulé o tabbouleh es una receta tradicional de la cocina libanesa y otras zonas del Magreb. Se hace con bulgur, un ingrediente que se obtiene a partir del trigo y es muy popular en la cocina de Oriente Medio. El bulgur es una fuente de hidratos de carbono y contiene gluten, así que no es apto para celiacos.;4;30;;baja;['200 gramos de bulgur', '400 mililitros de agua', '2 tomates', '1 pepinos', '1 cebolla o cebolleta', '1 puñado de hierbabuena', '1 chorro de aceite de oliva', '1 pizca de sal', '1 manojo de perejil', '1 cucharada sopera de mantequilla'];"['Pon un cazo con el agua a cocer a fuego medio con un poco de sal. Cuando empiece a hervir añade el bulgur y déjalo hasta que quede seco, aproximadamente unos 10 minutos según el bulgur. Sigue las instrucciones del fabricante.', 'Prepara las verduras. Lava los tomates y córtalos en trozos (puedes utilizar tomates cherry). Pela el pepino y córtalo en cuadrados pequeños; haz igual con la cebolla.', 'Una vez cocido el bulgur añade la cucharada de mantequilla, mézclala y pon el bulgur en una fuente. Puedes meter el bulgur en la nevera hasta que prepares la ensalada para que se enfríe. También puedes reservar la ensalada en la nevera un rato antes de servirla.', 'Añade las verduras picadas a la fuente junto al bulgur.', 'Exprime el limón y échalo por encima de todos los ingredientes. Remueve.', 'Lava y seca el perejil y la hierbabuena. Pica ambos lo más pequeño que se pueda. En el tabulé se añade bastante perejil, mientras que la hierbabuena puede ser la cantidad a gusto.', 'Añade el perejil y la hierbabuena a la fuente con el resto de la ensalada, remueve para que coja los sabores. Deja en la nevera hasta la hora de servir para que se enfríe el tabulé.', 'Cuando vayas a consumirla, alíñala con un poco de sal y aceite de oliva. Puedes servir el tabulé en platos individuales o en una fuente. ¡Disfruta!']"
Receta de Ensalada mexicana de pollo;En México, la ensalada de pollo es un platillo tan común como la ensalada de atún o la ensalada rusa en esta y otras gastronomías del mundo. De hecho, las tres ensaladas se parecen en cuanto a la presentación, ya que incluyen el ingrediente principal desmenuzado y se condimentan con mayonesa y/o crema. Así mismo, muchas son las personas que consideran que la versión mexicana es una adaptación de la ensaladilla rusa original. Por ello, este plato también es conocido como ensalada rusa de pollo mexicana. En la receta que aquí nos ocupa, la ensalada mexicana, debemos resaltar que se suele emplear la pechuga, así como papas y otras verduras que pueden variar al gusto del consumidor. En RecetasGratis traemos para ti la receta de ensalada de pollo mexicana con un toque de ajo que la vuelve mucho más rica. Verás que se trata de una elaboración muy sencilla y rápida, que te permitirá disfruta de un plato completo y delicioso.;6;45;Entrante;muy baja;['500 granos de pechuga de pollo', '240 gramos de verduras variadas', '6 cucharadas soperas de mayonesa', '6 cucharadas soperas de crema agria', '1 pizca de sal', '1 pizca de pimienta negra'];['Hierve, escurre y desmenuza la pechuga de pollo. Es preferible optar por esta parte del animal para elaborar la ensalada, pero si tienes restos de muslos de pollo asado, por ejemplo, también puedes usarlos.', 'Cocina las verduras escogidas también en agua hirviendo, sin embargo, debes lavarlas previamente y trocearlas en caso de ser grandes. Puedes escoger los ingredientes que más te gusten, ya que la ensalada de pollo mexicana se caracteriza por los condimentos y la forma de presentar el ingrediente principal, más que por los ingredientes complementarios. Puedes usar chícharos (guisantes), papa, zanahoria e incluso manzana verde. La manzana verde no debe cocinarse, solo pelarse y cortarse en cubos. Escurre la verdura cuando esté lista y pásala por agua fría para cortar la cocción.', 'Coloca en un bol todos los ingredientes y mézclalos, incluida la mayonesa y la crema. La cantidad de sal y pimienta será al gusto. Para que tu ensalada de pollo mexicana sea totalmente casera, te recomendamos hacer en casa tanto la mayonesa como la crema con estas recetas:', 'Puedes servir tu receta de ensalada mexicana sobre hojas de lechuga, en un emparedado, con galletas saladas o con galletas integrales. Existe una variante de la ensalada mexicana de pollo con coditos que incluye este ingrediente al final. Por supuesto, los coditos se cocinan en agua hirviendo antes y se escurren.']
Receta de Zorongollo extremeño;La ensalada típica de Extremadura es conocida con el nombre de zorongollo extremeño. Eso sí, no debe confundirse con la receta murciana, que se llama zarangollo, ya que llevan ingredientes diferentes y su elaboración es igualmente distinta.;4;30;Entrante;baja;['2 pimientos rojos grandes', '3 tomates pera grandes', '3 dientes de ajo', '1 cebolleta', '1 chorro de aceite de oliva', '2 pellizcos de sal', '1 chorro de vinagre blanco'];['Calienta el horno a 200 ºC con calor arriba y abajo. Hecho esto, prepara una bandeja de horno para asar los pimientos y los tomates, ponles un poco de sal y aceite por encima y ásalos durante 50 minutos. Para que se hagan bien por cada lado, dales la vuelta de vez en cuando. Si es necesario, puedes bajar la temperatura a 180 ºC a los 30 minutos de cocción.', 'Cuando las verduras estén asadas, retírales la piel y córtalas en tiras finas. Una magnífica forma de pelar verduras asadas es meterlas en una cacerola, taparla y dejarlas durante 1 hora para que se entibien. Luego, simplemente debes retirar la piel con los dedos. Aparte, pica la cebolleta muy fina y los dientes de ajo igual. Cabe destacar que también hay quien tritura el tomate asado con los ingredientes del aliño en lugar de cortarlo, de manera que puedes escoger la receta de zorongollo que más te guste.', 'Mezcla los ingredientes del zorongollo y aliña con aceite, sal y vinagre al gusto. Remueve bastante la ensalada para que se integren los sabores y emulsionen. Es habitual servir la receta de zorongollo extremeño con huevo cocido por encima. Por supuesto, ¡no olvides el pan!']
Receta de Ensalada aragonesa;La ensalada aragonesa de patata es una muy exquisita receta preparada con una variedad de ingredientes muy ricos nutricionalmente hablando. Así pues, en esta ensalada encontramos vitaminas, minerales, fibra, hidratos de carbono, proteína y ácidos grasos omega 3. Esto es así debido a que contiene verduras, huevo, pescado y legumbres, un conjunto de ingredientes que forman un plato completo y refrescante, ideal para los meses de calor.;4;30;Entrante;muy baja;['1 patata', '1 cebolleta', '1 trozo de cebolleta', '2 dientes de ajo', '1 bolsa de ensalada variada o gourmet', '2 tomate de pera', '50 gramos de migas de bacalao desalado', '1 lata de atún en escabeche', '2 huevos', '12 aceitunas verdes y negras (si son de Aragón mejor)', '1 puñado de habichuelas blancas cocidas', '2 chorros de vinagre, aceite de oliva virgen extra , sal'];['Pon un fondo de lechugas variadas en una fuente para ensalada, que debe de ser amplia para mezclar en ella todos los ingredientes de la ensalada aragonesa. Puedes escoger el tipo de lechuga que más te guste, canónigos, etc.', 'Cuece un par de huevos durante 12 minutos y pásalos por agua fría para romper la cadena de cocción, aunque si te gustan más cocidos o menos, puedes dejarlos a tu gusto. Cuece también la patata pelada hasta que esté tierna.', 'Aparte, corta todas las verduras en juliana, la patata en cuartos no demasiado pequeños y los tomates también en cuartos. Reserva estos ingredientes.', 'Añade todos los ingredientes sobre la lechuga, pero colocándolos alrededor de la fuente para mejorar la presentación de la ensalada aragonesa. Puedes dejar para el final las migas de bacalao, el atún y las olivas. En el centro, te recomendamos colocar las habichuelas blancas cocidas.', 'Es momento de preparar el aliño. Para ello, pica los dientes de ajo con una pizca de sal en un mortero. Cuando queden muy bien aplastados, añade sobre esta crema de ajo un chorro de vinagre contundente y aceite de oliva, removiendo antes de depositar completamente los líquidos para que se vaya formando una mezcla homogénea. Si lo precisas para ligar un poco ese aliño, añade más aceite que vinagre.', 'Espera a que la ensalada esté completamente fría para servirla. Añade el aliño sobre todos los ingredientes y a disfrutar de un plato completo, fresco y delicioso. Esta receta de ensalada aragonesa es perfecta para cuando tienes invitados, para llevar a la playa o incluso para cenar.']
Receta de Ensalada de aguacate y tomate;Ensalada de aguacate y tomate, perfecta para combatir el calor y muy versátil, puesto que podemos añadir múltiples ingredientes. Preparar ensaladas es muy sencillo y rápido, por lo que son un buen entrante e incluso se pueden servir como plato único. Lo bueno de las ensaladas es que podemos prepararlas con antelación y tenerlas en la nevera sin aliñarlas hasta la hora de comer.;4;15;Entrante;muy baja;['4 tomates', '3 aguacates', '2 cebollas tiernas', '1 trozo de queso (feta, de cabra...)', '2 latas de anchoas', '2 limón', '1 chorro de aceite de oliva', '1 pizca de pimienta', '1 pizca de sal'];['Lava los tomates, sécalos y córtalos en trozos. Colócalos en en una fuente.', 'Corta el aguacate por la mitad, saca la pulpa y rocíala con un poco de zumo de limón para que no se oxide. Córtalo en trozos iguales que los de tomate.', 'Pela y corta la cebolleta. Para hacer esta ensalada de aguacate y tomate puedes usar otro tipo de cebolla que te guste.', 'Si quieres servir ensaladas individuales, te recomendamos coger un molde redondo. Así, coloca una capa de tomate y presiónala un poco con una cuchara. Puedes añadir una pizca de sal. ', 'Pon encima una capa de aguacate y presiona ligeramente de nuevo.', 'Coloca la cebolla encima del aguacate y, nuevamente, presiona un poco.', 'Corta el queso, que puede ser de cabra o feta u otro que te guste, y coloca los trozos encima de la cebolla. La ensalada de aguacate, tomate y queso queda igual de deliciosa con queso azul, por lo que también puedes probar esta versión. Así mismo, en lugar de emplear el queso entero puedes hacer una salsa de queso azul y servirla al final. ¡Te damos varias ideas para que escojas la que quieras!', 'Prepara el aliño para potenciar el sabor de esta ensalada de tomate y aguacate. Para ello, En un bol o jarrita pon un chorro de aceite, el zumo del limón y, si quieres, un poco de sal, y bátelo un poco para que se mezcle todo. Se puede poner un poco de vinagre, pero con el queso y las anchoas no lo recomendamos.', 'Quita el aro del plato, abre las latas de anchoas, escurre un poco el aceite, pon algunas tiras por encima del queso, añade un poco pimienta y echa un poco del aliño anterior. ¡Listo! Así de fácil y deliciosa es esta receta de ensalada de aguacate y tomate que proponemos. Como hemos comentado, puedes sustituir las anchoas por atún y colocarlo encima del queso. También puedes agregar albahaca si quieres dar a la ensalada un toque más aromático y fresco']
Receta de Ensalada con salsa de yogur;Vamos a preparar una ensalada con salsa de yogur, un aliño diferente, muy fresco y ligero. Las ensaladas son un plato muy apetecible que podemos comer todo el año, ya que las podemos preparar muy variadas según la temporada en la que estemos. Si siempre aliñas tu ensalada con la misma vinagreta, esta salsa de yogur hará diferente tu ensalada.;2;15;Entrante;muy baja;['1 bolsa de lechuga variada', '1 zanahoria', '1 cebolla', '3 rábanos', '1 puñado de nueces', '1 trozo de queso griego', '1 yogur griego', '1 limón', '1 cucharada postre de ajo molido', '1 puñado de perejil picado', '1 pizca de sal', '1 chorro de aceite de oliva (opcional)'];['Prepara todos los ingredientes para hacer la ensalada con salsa de yogur. Si no quieres usar yogur griego por su elevado aporte de grasas, puedes emplear yogur natural sin azúcar o yogur desnatado.', 'Lava bien las hojas de lechuga, sécalas y trocéalas. Luego, ponlas en un plato o en un bol, dependiendo de la cantidad que vayas a hacer.', 'Pela y pica la cebolla, lava los rábanos y córtalos en rodajas o en trozos pequeños. La ensalada con salsa de yogur puedes hacerla variando los ingredientes sin problema, de manera que puedes añadir calabacín, pimiento...', 'Coloca los ingredientes anteriores en el plato de la lechuga.', 'Pela, limpia y ralla las zanahorias. También puedes cortarlas en rodajas finas, pero de esta forma los niños las comerán mejor.', 'Pica las nueces y corta el queso blanco en trozos. Añade todos estos ingredientes al plato.', 'Prepara la salsa de yogur. Para ello, pon en un bol el yogur y bátelo con una cuchara o tenedor para que quede bien cremoso. Luego, añade el zumo de medio limón.', 'Lava el perejil, sécalo y lo pícalo. Añádelo a la salsa de yogur y agrega también el ajo molido.', 'Mezcla todo bien, añade un poco de sal y un chorrito de aceite, aunque este último es opcional. Prueba la salsa y rectifica de lo que consideres, se puede añadir más limón, sal o ajo molido. Bate todo bien, ponlo en un bol de cristal o salsera y deja la salsa un rato en la nevera para que esté bien fresquita.', 'Puedes aliñar la ensalada con la salsa o servirla aparte para que cada comensal agregue la cantidad que quiera. ¡Ya puedes disfrutar de esta deliciosa receta de ensalada con salsa de yogur! Ahora que sabes qué lleva la ensalada con salsa de yogur, anímate a experimentar modificando los ingredientes a tu antojo. Incluso podrías añadir pechuga de pollo hervida y troceada a la ensalada para darle un extra de sabor y textura.']
Receta de Ensalada de wakame;El alga wakame posee muchas propiedades, en China se utiliza para preparar la sopa de miso y muchas otras reectas. Esta alga contiene mucho calcio y yodo, vitaminas, hierro, ácido fólico y mucho antioxidantes. Además, es depurativa, ayuda al sistema nervioso y cuida de nuestros huesos. También, tiene muy pocas calorías. Como ves, este alimento es un gran aliado para preservar nuestra salud. Por este motivo, incluirlo en nuestra alimentación está más que recomendado. Hacerlo es muy sencillo, ya que solo debemos poner wakame en agua durante unos minutos para hidratarla o cocerla.;2;15;Entrante;muy baja;['1 paquete de algas wakame (50 g aprox.)', '1 pepino', '1 manojo de tomates cherry', '1 cebolla', '4 rábanos', '1 chorro de aceite de oliva', '1 pizca de sal', '1 chorro de vinagre balsámico'];['Dejo listos todos los ingredientes para hacer la ensalada de wakame. Como decimos, nosotros hemos optado por estos ingredientes, pero puedes usar también zanahoria, cebolla, salmón ahumado, aguacate, huevos cocidos, calabacín, zumo de limón...', 'Introduce las algas wakame en un bol con agua para hidratarlas y déjalas durante 15 minutos o el tiempo que indique el fabricante. Se pueden poner en trozos o enteras.', 'Lava los tomates cherry y córtalos en trozos, que pueden ser por la mitad o en cuartos. Lava los rábanos y haz lo mismo. Corta la cebolla en trozos también. Y si quieres dar a tu ensalada de wakame y tomate un toque diferente, utiliza tomates cherry confitados.', 'Pela el pepino y córtalo en cuadraditos o rodajas, como más te guste.', 'Coge todos los ingredientes anteriores, menos las algas y coloca en la fuente que usarás para servir la ensalada.', 'Pasados los 15 minutos, retira las algas y límpialas con las manos debajo el grifo porque a veces llevan un poco de arenilla. Escúrrelas bien.', 'Cuando tengas las algas escurridas, córtalas en tiras finas o en trozos más grandes. Nuevamente, tú decides cómo quieres añadirla a tu ensalada.', 'Añade las algas wakame a la ensalada y mézclalas con los demás ingredientes. Prepara una vinagreta para condimentar el plato. Puedes optar por mezclar aceite de oliva, sal y vinagre balsámico o probar con alguna más elaborada, como la vinagreta de miel y mostaza o la vinagreta de naranja.']
Receta de Ensalada de camarones y aguacate;La ensalada de camarones y aguacate es fácil de hacer, rápida y está deliciosa. Para potenciar su sabor hemos decidido añadir una salsa blanca que todos conocemos: mayonesa. No obstante, recomendamos otras opciones para poder elegir y variar la receta cada vez que la hagas.;2;15;Entrante;baja;['100 gramos de camarones cocidos o crudos', '2 aguacates', '1 manojo de tomates cherry', '100 gramos de lechuga', '2 rodajas de piña', 'Mayonesa al gusto', '1 chorro de jugo de limón (opcional)', '1 mango (opcional)'];['Pela los camarones y resérvalos en un bol. Puedes hacer la ensalada de camarones y aguacate con camarones cocidos o crudos. En caso de usar camarones crudos, deberás cocinarlos a la plancha o cocerlos.', 'Pela los aguacates y córtalos en cubos o en rodajas, cómo más te guste. Añádelos al bol con los camarones y, para evitar que se oxiden los aguacates, vierte un chorro de zumo de limón y mezcla.', 'Corta los tomates cherry por la mitad y la piña en cubos del mismo tamaño que el aguacate. Añade estos ingredientes al bol para seguir con la elaboración de la ensalada de camarones y aguacate.', 'Agrega la lechuga, mayonesa al gusto, mezcla y sirve. ¡Ya tienes tu ensalada de aguacate y camarones lista! En lugar de mayonesa puedes usar salsa rosa, salsa tártara, vinagreta de miel y mostaza o cualquier otra que te guste. Las posibilidades son infinitas, de manera que te animamos a probar y a decirnos qué salsa has agregado tú. Nosotros hemos servido la ensalada en recipientes individuales, pero también puedes presentarla en una única fuente. Así mismo, en función de si la ensalada será un acompañamiento o un plato único, rendirá para más o menos personas. Como plato único es para dos, mientras que como acompañamiento es para cuatro.']
Receta de Ensalada de frutas con azúcar y limón;Aunque relacionamos las ensaladas de frutas con el verano y el calor, en realidad son fantásticas para cualquier momento del año. Además, podemos ir variando las frutas según la temporada e ir reinventando esta receta de ensalada de frutas con azúcar y limón que te traemos en RecetasGratis. ;4;15;Postre;baja;['150 mililitros de agua', '100 gramos de azúcar                                                                    (½ taza)', '1 limón (su zumo)', '1 mango', '2 kiwi', '1 naranja grande', '2 plátanos (o una banana grande)'];['Pon una olla al fuego con el azúcar, el agua y el zumo de limón. Cuece a fuego suave durante 15 minutos.', 'Mientras se hace el almíbar, pela las frutas y trocéalas en trozos no muy grandes.', 'Pon las frutas en un bol amplio, remueve y riega con el almíbar de limón.', 'Aunque puedes servir la ensalada de frutas con azúcar y limón al momento, estará mejor si la dejas reposar un tiempo para que la fruta tome el sabor del almíbar de limón.']
Receta de Ensalada de lentejas y quinoa;Seguro que en algún momento habrás escuchado hablar de todas las propiedades y beneficios de la quinoa como súper alimento. En esta ocasión, vamos a preparar una nutritiva receta de ensalada de lentejas y quinoa, una combinación de ingredientes que nos brindará un plato rico en hierro, ácido fólico, fibra, vitamina C, vitamina B, fósforo, entre otros nutrientes.;2;30;;baja;['100 gramos de quinoa', '100 gramos de lentejas', '1 tomate rojo', '1 aguacate', '1 loncha de queso mozzarella', '1 diente de ajo', 'Aceite de oliva', 'Vinagre balsámico'];['Echa las lentejas en una olla con agua hirviendo y cocínalas con una pizca de sal por alrededor de 20 minutos hasta que el grano esté al dente.', 'Pon a hervir agua en otra olla y agrega el ajo previamente macerado. Echa la quinoa y déjala cocinando por 15 minutos hasta que abra.', 'En un mismo bol, añade las lentejas y la quinoa ya cocinadas. Mezcla y condimenta con sal y pimienta.', 'Pela y corta el tomate en cubitos pequeños sin semillas, haz lo mismo con el aguacate. Agrega los ingredientes a la ensalada de quinoa y lentejas, mezcla.', 'Añade el queso cortado en tiras, el aceite de oliva y el vinagre balsámico al gusto. Rectifica de sal si es necesario y disfruta de tu ensalada de lentejas y quinoa.']
Receta de Ensalada de quinoa y pollo;Poco a poco hemos ido introduciendo la quinoa en nuestra dieta con gran acierto. Todos conocemos los innumerables beneficios de este pseudocereal de carbohidratos complejos que hace que nos sacie y repleto de vitaminas. Con esta ensalada, acompañada con la proteína del pollo y las proteínas de la quinoa, vamos a obtener una receta muy saludable, ideal para pérdidas de peso o para una alimentación equilibrada.;4;45;Plato principal;baja;['2 pechugas de pollo', '1 taza de quinoa (unos 150 g)', '3 hojas de laurel', '100 gramos de maíz cocido', '50 gramos de granos de granada', '1 pizca de sal', '1 pizca de aceite de oliva', '1 pizca de vinagre balsámico'];"['Pon las pechugas de pollo en una olla y cúbrelas con agua, añade un poco de sal y dos hojas de laurel. Cuece el pollo durante 30 minutos a fuego medio-bajo o hasta que las pechugas estén cocidas y tiernas.', 'En otra olla, cuece la quinoa. Para ello, mira el paquete para ver la proporción de cocción de agua. En el nuestro es una parte de quinoa por tres de agua. Pon el agua a cocer con un poco de sal y una hoja de laurel. Cuando empiece a hervir, añade la quinoa. Mira en el paquete, también, el tiempo de cocción de la quinoa. En el nuestro se indican 10 minutos de cocción y 5 de reposo. La quinoa se habrá inflado y habrá absorbido toda el agua. Reserva.', 'Una vez cocida las pechugas, escúrrelas y córtalas con ayuda de un cuchillo. La puedes filetear finamente o cortarlas en trozos más gruesos pero no muy grandes para hacer la ensalada de quinoa y pollo a tu gusto.', 'Pon en un bol la quinoa junto con los trozos de pollo, el maíz y los granos de granada. Añade un poco de sal y aceite. Remueve bien y sirve con un chorrito de vinagre balsámico. Si quieres hacer la ensalada de quinoa, pollo y aguacate también quedará deliciosa, simplemente deberás pelar y cortar un aguacate. Consulta nuestro artículo para saber cómo conservarlo sin que se oxide: ""Cómo conservar el aguacate"".', 'Si prefieres decorar la ensalada te proponemos que mezcles la quinoa con el maíz cocido. Pon encima tiras de pollo y corona el centro con los granos de granada. Por último, decora con un chorrito de vinagre balsámico.', 'Puedes servir la ensalada tanto tibia como fría, ya que de las dos formas estará muy rica. Ahora que sabes cómo hacer ensalada de quinoa y pollo, anímate a experimentar y no olvides dejar tus comentarios.']"
